Star Properties		Equations are ideal for stars 0.18-1.2 solar masses and planets >0.01 Earth masses								Planet Properties		(see notes and caveats under each column)																																																
																																																												
										Mass (Earth	Mass (Jupiter	Metal core	water mass	Radius	Radius	Surface area	Density	Semimajor	Period	Period	Period ratio	Synodic day			Periapsis	Apoapsis	min separation from	Hill radius	Roche limit	Bond	Equilibrium	CO2 Partial	Avg. surface	Habitable	Primary apparent	Primary apparent	Secondary apparent	Secondary apparent	Surface illumination	Avg Irradiance	Geometric	Planet absolute	Rad abundance	Radiogenic	Priomordial	Tidal heating	Total surface	Tectonic	Surface	Induced tide	Orbit velocity at	Escape velocity	Rotation	Surface-synchronous	Avg. orbital	Min mass gas	0-altitude	Average molar	Altitude of	Distance to
			System age (billion years)			0.0015			Suffix	masses)	Masses)	mass fraction	fraction	(Earth radii)	override	(ratio to Earth)	(g/cm^3)	axis (AU)	(days)	(years)	too above	length (hours)	Days/year	Eccentricity	(AU)	(AU)	above (Hill radii)	(km)	(Luna; km)	albedo	temp (K)	pressure (bar)	temp (K)	zone	Diameter (ø)	magnitude	diameter (ø)	magnitude	under direct light (lx)	(relative to Earth)	albedo	magnitude	(ratio to Earth)	heating (W/m^2)	heating (W/m^2)	(W/m^2)	flux (W/m^2)	habitability	gravity (g)	by star (m)	surface (km/s)	at surface (km/s)	period (hours)	altitude (km)	speed (km/s)	retained (g/mol)	pressure (atm)	mass (g/mol)	10^-6 atm (km)	horizon (km)
									b	0.73	0.002295597			0.923267632		0.852423119	5.113854937	1.373	159.1608234	0.435770516		377.3	10.12419762	1	0	2.746		774502.165	16669		#NUM!		#NUM!	#NUM!	2.486434847	#NUM!	0	#NUM!	#NUM!	#DIV/0!		#NUM!		0	0.120220143	0.001501808	0.121721951	Ideal	0.856382216	0.000134824	7.031964864	9.944700081	343.382947	218271.3973	93.83196073	#NUM!			#DIV/0!	4.601706241
			Primary		Secondary				c	3.5	0.011006289			1.689925032		2.855846613	3.996949252	5.045	1121.042286	3.069330539	7.043456187	464.4	57.93500186	0.4	3.027	7.063	14.37870988	4798752.273	28107		#NUM!		#NUM!	#NUM!	0.67663568	#NUM!	0	#NUM!	#NUM!	-441.2748564		#NUM!		0	0.172045281	8.5001E-08	0.172045366	Ideal	1.225556017	6.36222E-06	11.38097239	16.09512551	456.5201326	446232.0094	48.95032813	#NUM!			#DIV/0!	6.225708618
Star Mass (sun masses)				13.63					d	0.27	0.000849057			0.699537535		0.489352763	4.347039673	14.29	5344.151194	14.63188915	4.767127218	285.8	448.7740681	0.261	10.56031	18.01969	60.91554674	5786260.24	11965		#NUM!		#NUM!	#NUM!	0.238881011	#NUM!	0	#NUM!	#NUM!	-52.21880709		#NUM!		0	0.077455332	1.04264E-12	0.077455332	Ideal	0.551749209	1.06555E-07	4.913098125	6.948170002	285.1645699	137700.9685	29.0850573	#NUM!			#DIV/0!	4.00553571
			calculated	override	calculated	override			e	0.84	0.002641509			0.960139757		0.921868352	5.230447339	23.773	11467.17266	31.39626727	2.145742559	944.64	291.3407687	0.028	23.107356	24.438644	57.0793077	14052542.19	17467		#NUM!		#NUM!	#NUM!	0.143591808	#NUM!	0	#NUM!	#NUM!	-18.22105403		#NUM!		0	0.127914559	6.82103E-16	0.127914559	Ideal	0.911193012	2.63996E-08	7.396929571	10.46083812	941.4087025	453995.4776	22.54987144	#NUM!			#DIV/0!	4.692694816
Effective Temperature (K)			#NUM!		0				f	0.38	0.001194969			0.769520432		0.592161695	4.596063671	37.594	22803.85095	62.43525065	1.988620179	49.86	10976.58289	0.263	27.706778	47.481222	28.02156194	17059156.29	13409		#NUM!		#NUM!	#NUM!	0.090801924	#NUM!	0	#NUM!	#NUM!	-7.549160747		#NUM!		0	0.090085083	9.96193E-16	0.090085083	Ideal	0.641716617	6.0888E-09	5.557260916	7.859153757	49.85545802	44907.99183	17.93191926	#NUM!			#DIV/0!	4.20112081
Luminosity (ratio to sun)			-10293.69193		0		-3.9116E+30		g	0.99	0.003113208			1.005177483		1.010381772	5.372418637	53.926	39176.68367	107.2628509	1.71798543	539.63	1742.379794	0.023	52.685702	55.166298	22.34985784	33670876.18	18450		#NUM!		#NUM!	#NUM!	0.063301698	#NUM!	0	#NUM!	#NUM!	-3.540704256		#NUM!		0	0.137549587	1.13464E-18	0.137549587	Ideal	0.979827652	2.30532E-09	7.848294455	11.09916446	539.3204691	328840.6401	14.97224651	#NUM!			#DIV/0!	4.801494759
Radius (sun radii)			6.405666835		0		-3.59202E-05	W/m^2	h	0.62	0.001949686			0.882140606		0.778172048	4.97784255	64.01	50664.30825	138.715114	1.29322606	7243	167.8784203	0.021	62.66579	65.35421	25.94308359	34194495.65	15786		#NUM!		#NUM!	#NUM!	0.053329281	#NUM!	0	#NUM!	#NUM!	-2.512877369		#NUM!		0	0.11184734	1.76748E-19	0.11184734	Ideal	0.796738975	1.30559E-09	6.629885149	9.376073495	7200.111157	1608523.555	13.74238595	#NUM!			#DIV/0!	4.498047056
(equations assume P-type planets and negligible binary separation)							9.0319E-09	W/m^2	i	2.74	0.008616352			1.463007129		2.140389858	4.822521168	112.623	118241.7674	323.7371794	2.333827728	3.71	764906.312	0.382	69.601014	155.644986	10.03740326	98731353.66	25905		#NUM!		#NUM!	#NUM!	0.030310036	#NUM!	0	#NUM!	#NUM!	-0.878150037		#NUM!		0	0.179707945	3.85322E-18	0.179707945	Ideal	1.28014062	4.1034E-10	10.82258804	15.30545078	3.70999515	7704.081708	10.36030666	#NUM!			#DIV/0!	5.792663424
Peak wavelength of light (nm)			#NUM!		#DIV/0!		-3977.036298		j	0.47	0.001477987			0.816536935		0.666732567	4.758096667	200.057	279937.4561	766.4479687	2.367500607	73.48	91433.02866	0.15	170.04845	230.06555	14.32247971	97446037.41	14393		#NUM!		#NUM!	#NUM!	0.017063173	#NUM!	0	#NUM!	#NUM!	-0.260138888		#NUM!		0	0.098959112	1.38873E-21	0.098959112	Ideal	0.704930317	4.14128E-11	5.999845661	8.485063106	73.47919636	64043.79276	7.77336699	#NUM!			#DIV/0!	4.327559101
